,date,et0_fao_evapotranspiration_sum
162,1950-06-12 00:00:00+00:00,5.777641
163,1950-06-13 00:00:00+00:00,5.3313107
164,1950-06-14 00:00:00+00:00,5.226972
165,1950-06-15 00:00:00+00:00,5.368593
166,1950-06-16 00:00:00+00:00,5.422806
167,1950-06-17 00:00:00+00:00,6.50822
168,1950-06-18 00:00:00+00:00,6.4246473
169,1950-06-19 00:00:00+00:00,6.250015
170,1950-06-20 00:00:00+00:00,6.286846
171,1950-06-21 00:00:00+00:00,6.62309
172,1950-06-22 00:00:00+00:00,6.6541657
173,1950-06-23 00:00:00+00:00,6.8447304
174,1950-06-24 00:00:00+00:00,6.6523013
175,1950-06-25 00:00:00+00:00,6.1470447
176,1950-06-26 00:00:00+00:00,5.3691487
177,1950-06-27 00:00:00+00:00,4.932106
178,1950-06-28 00:00:00+00:00,5.853662
179,1950-06-29 00:00:00+00:00,6.04246
180,1950-06-30 00:00:00+00:00,5.8252544
181,1950-07-01 00:00:00+00:00,5.6836014
182,1950-07-02 00:00:00+00:00,6.491267
183,1950-07-03 00:00:00+00:00,6.4253798
184,1950-07-04 00:00:00+00:00,6.276099
185,1950-07-05 00:00:00+00:00,6.957552
186,1950-07-06 00:00:00+00:00,7.0022783
187,1950-07-07 00:00:00+00:00,7.170687
188,1950-07-08 00:00:00+00:00,7.115727
189,1950-07-09 00:00:00+00:00,6.5079813
190,1950-07-10 00:00:00+00:00,6.26417
191,1950-07-11 00:00:00+00:00,6.352556
192,1950-07-12 00:00:00+00:00,6.3815165
193,1950-07-13 00:00:00+00:00,6.383479
194,1950-07-14 00:00:00+00:00,6.233947
195,1950-07-15 00:00:00+00:00,5.4589643
196,1950-07-16 00:00:00+00:00,5.0199275
197,1950-07-17 00:00:00+00:00,5.9529696
198,1950-07-18 00:00:00+00:00,6.1776
199,1950-07-19 00:00:00+00:00,5.8099008
200,1950-07-20 00:00:00+00:00,5.8206344
201,1950-07-21 00:00:00+00:00,6.75723
202,1950-07-22 00:00:00+00:00,6.7581882
203,1950-07-23 00:00:00+00:00,6.5078864
204,1950-07-24 00:00:00+00:00,6.6442986
205,1950-07-25 00:00:00+00:00,6.133599
206,1950-07-26 00:00:00+00:00,6.5366697
207,1950-07-27 00:00:00+00:00,6.5234027
208,1950-07-28 00:00:00+00:00,6.001435
209,1950-07-29 00:00:00+00:00,6.6031637
210,1950-07-30 00:00:00+00:00,6.5397234
211,1950-07-31 00:00:00+00:00,5.818704
212,1950-08-01 00:00:00+00:00,5.9519806
213,1950-08-02 00:00:00+00:00,6.407956
214,1950-08-03 00:00:00+00:00,6.344344
215,1950-08-04 00:00:00+00:00,5.7858124
216,1950-08-05 00:00:00+00:00,5.8463707
217,1950-08-06 00:00:00+00:00,6.2431417
218,1950-08-07 00:00:00+00:00,5.752993
219,1950-08-08 00:00:00+00:00,5.974507
220,1950-08-09 00:00:00+00:00,5.89426
221,1950-08-10 00:00:00+00:00,5.277791
222,1950-08-11 00:00:00+00:00,6.057202
223,1950-08-12 00:00:00+00:00,5.8822713
224,1950-08-13 00:00:00+00:00,5.8801966
225,1950-08-14 00:00:00+00:00,5.868774
226,1950-08-15 00:00:00+00:00,5.641063
227,1950-08-16 00:00:00+00:00,5.1255827
228,1950-08-17 00:00:00+00:00,5.4484296
229,1950-08-18 00:00:00+00:00,5.8467793
230,1950-08-19 00:00:00+00:00,6.101023
231,1950-08-20 00:00:00+00:00,6.0681214
232,1950-08-21 00:00:00+00:00,5.954474
233,1950-08-22 00:00:00+00:00,5.5256577
234,1950-08-23 00:00:00+00:00,5.573805
235,1950-08-24 00:00:00+00:00,5.0779924
236,1950-08-25 00:00:00+00:00,4.7062306
237,1950-08-26 00:00:00+00:00,5.2358174
238,1950-08-27 00:00:00+00:00,4.599745
239,1950-08-28 00:00:00+00:00,5.4424467
240,1950-08-29 00:00:00+00:00,5.3349905
241,1950-08-30 00:00:00+00:00,5.3273616
242,1950-08-31 00:00:00+00:00,5.3861475
243,1950-09-01 00:00:00+00:00,5.434451
244,1950-09-02 00:00:00+00:00,5.107807
245,1950-09-03 00:00:00+00:00,4.966579
246,1950-09-04 00:00:00+00:00,5.381838
247,1950-09-05 00:00:00+00:00,5.142482
248,1950-09-06 00:00:00+00:00,4.8384576
249,1950-09-07 00:00:00+00:00,4.7138925
250,1950-09-08 00:00:00+00:00,5.1743193
251,1950-09-09 00:00:00+00:00,5.1513557
252,1950-09-10 00:00:00+00:00,5.318152
253,1950-09-11 00:00:00+00:00,4.9990215
254,1950-09-12 00:00:00+00:00,4.4712896
255,1950-09-13 00:00:00+00:00,4.2764425
256,1950-09-14 00:00:00+00:00,3.9100895
257,1950-09-15 00:00:00+00:00,3.8164563
258,1950-09-16 00:00:00+00:00,4.6287947
259,1950-09-17 00:00:00+00:00,4.2614317
260,1950-09-18 00:00:00+00:00,3.9292436
261,1950-09-19 00:00:00+00:00,3.8826947
