,date,temperature_2m_min
261,1950-09-19 00:00:00+00:00,14.300087
262,1950-09-20 00:00:00+00:00,15.707828
263,1950-09-21 00:00:00+00:00,13.265569
264,1950-09-22 00:00:00+00:00,12.123308
265,1950-09-23 00:00:00+00:00,12.631049
266,1950-09-24 00:00:00+00:00,12.338789
267,1950-09-25 00:00:00+00:00,14.09653
268,1950-09-26 00:00:00+00:00,14.90427
269,1950-09-27 00:00:00+00:00,14.462011
270,1950-09-28 00:00:00+00:00,14.069753
271,1950-09-29 00:00:00+00:00,15.127491
272,1950-09-30 00:00:00+00:00,16.235231
273,1950-10-01 00:00:00+00:00,15.092975
274,1950-10-02 00:00:00+00:00,17.150713
275,1950-10-03 00:00:00+00:00,14.758455
276,1950-10-04 00:00:00+00:00,12.866196
277,1950-10-05 00:00:00+00:00,13.323936
278,1950-10-06 00:00:00+00:00,11.481676
279,1950-10-07 00:00:00+00:00,11.989417
280,1950-10-08 00:00:00+00:00,12.547157
281,1950-10-09 00:00:00+00:00,12.604898
282,1950-10-10 00:00:00+00:00,13.512639
283,1950-10-11 00:00:00+00:00,16.120378
284,1950-10-12 00:00:00+00:00,15.128119
285,1950-10-13 00:00:00+00:00,12.335859
286,1950-10-14 00:00:00+00:00,11.193601
287,1950-10-15 00:00:00+00:00,12.401342
288,1950-10-16 00:00:00+00:00,14.009082
289,1950-10-17 00:00:00+00:00,15.066823
290,1950-10-18 00:00:00+00:00,13.174564
291,1950-10-19 00:00:00+00:00,8.932304
292,1950-10-20 00:00:00+00:00,7.290045
293,1950-10-21 00:00:00+00:00,8.047785
294,1950-10-22 00:00:00+00:00,11.055526
295,1950-10-23 00:00:00+00:00,8.913266
296,1950-10-24 00:00:00+00:00,7.5210066
297,1950-10-25 00:00:00+00:00,8.878747
298,1950-10-26 00:00:00+00:00,9.186488
299,1950-10-27 00:00:00+00:00,9.244228
300,1950-10-28 00:00:00+00:00,9.801969
301,1950-10-29 00:00:00+00:00,11.159709
302,1950-10-30 00:00:00+00:00,11.317451
303,1950-10-31 00:00:00+00:00,9.625192
304,1950-11-01 00:00:00+00:00,8.382932
305,1950-11-02 00:00:00+00:00,8.188902
306,1950-11-03 00:00:00+00:00,9.043813
307,1950-11-04 00:00:00+00:00,9.748723
308,1950-11-05 00:00:00+00:00,9.403633
309,1950-11-06 00:00:00+00:00,11.508543
310,1950-11-07 00:00:00+00:00,10.013452
311,1950-11-08 00:00:00+00:00,9.718362
312,1950-11-09 00:00:00+00:00,12.173272
313,1950-11-10 00:00:00+00:00,8.228182
314,1950-11-11 00:00:00+00:00,8.633092
315,1950-11-12 00:00:00+00:00,7.838002
316,1950-11-13 00:00:00+00:00,8.192912
317,1950-11-14 00:00:00+00:00,7.347821
318,1950-11-15 00:00:00+00:00,9.3027315
319,1950-11-16 00:00:00+00:00,7.9076414
320,1950-11-17 00:00:00+00:00,5.662551
321,1950-11-18 00:00:00+00:00,5.4674606
322,1950-11-19 00:00:00+00:00,5.8223715
323,1950-11-20 00:00:00+00:00,7.627281
324,1950-11-21 00:00:00+00:00,10.482191
325,1950-11-22 00:00:00+00:00,11.737102
326,1950-11-23 00:00:00+00:00,8.54201
327,1950-11-24 00:00:00+00:00,5.4469204
328,1950-11-25 00:00:00+00:00,6.8018312
329,1950-11-26 00:00:00+00:00,4.8067408
330,1950-11-27 00:00:00+00:00,5.211651
331,1950-11-28 00:00:00+00:00,5.2165604
332,1950-11-29 00:00:00+00:00,5.02147
333,1950-11-30 00:00:00+00:00,8.17638
334,1950-12-01 00:00:00+00:00,5.03129
335,1950-12-02 00:00:00+00:00,4.9362
336,1950-12-03 00:00:00+00:00,4.09111
337,1950-12-04 00:00:00+00:00,2.19602
338,1950-12-05 00:00:00+00:00,1.7009296
339,1950-12-06 00:00:00+00:00,4.20584
340,1950-12-07 00:00:00+00:00,6.31075
341,1950-12-08 00:00:00+00:00,6.41566
342,1950-12-09 00:00:00+00:00,3.4705696
343,1950-12-10 00:00:00+00:00,1.4754796
344,1950-12-11 00:00:00+00:00,2.6303892
345,1950-12-12 00:00:00+00:00,5.685299
346,1950-12-13 00:00:00+00:00,5.640209
347,1950-12-14 00:00:00+00:00,6.19512
348,1950-12-15 00:00:00+00:00,4.800029
349,1950-12-16 00:00:00+00:00,5.004939
350,1950-12-17 00:00:00+00:00,4.9598494
351,1950-12-18 00:00:00+00:00,6.5647583
352,1950-12-19 00:00:00+00:00,4.4196687
353,1950-12-20 00:00:00+00:00,4.8745794
354,1950-12-21 00:00:00+00:00,3.0294888
355,1950-12-22 00:00:00+00:00,2.2843986
356,1950-12-23 00:00:00+00:00,-0.3606913
357,1950-12-24 00:00:00+00:00,-1.4557812
358,1950-12-25 00:00:00+00:00,-2.3008716
359,1950-12-26 00:00:00+00:00,0.90403795
360,1950-12-27 00:00:00+00:00,0.6589482
361,1950-12-28 00:00:00+00:00,-0.08614206
362,1950-12-29 00:00:00+00:00,3.2687676
363,1950-12-30 00:00:00+00:00,1.873678
364,1950-12-31 00:00:00+00:00,0.32858753
365,1951-01-01 00:00:00+00:00,-0.36650276
366,1951-01-02 00:00:00+00:00,-3.367449
367,1951-01-03 00:00:00+00:00,-5.9703484
368,1951-01-04 00:00:00+00:00,-3.673248
369,1951-01-05 00:00:00+00:00,-2.426148
370,1951-01-06 00:00:00+00:00,-1.9290469
371,1951-01-07 00:00:00+00:00,0.56805325
372,1951-01-08 00:00:00+00:00,0.16515446
373,1951-01-09 00:00:00+00:00,-2.2377453
374,1951-01-10 00:00:00+00:00,-0.0906446
375,1951-01-11 00:00:00+00:00,2.2564561
376,1951-01-12 00:00:00+00:00,3.6035564
377,1951-01-13 00:00:00+00:00,2.4506571
378,1951-01-14 00:00:00+00:00,4.097758
379,1951-01-15 00:00:00+00:00,1.6948586
380,1951-01-16 00:00:00+00:00,-0.8580413
381,1951-01-17 00:00:00+00:00,-0.5109408
382,1951-01-18 00:00:00+00:00,-2.1638405
383,1951-01-19 00:00:00+00:00,1.1832604
384,1951-01-20 00:00:00+00:00,3.680361
385,1951-01-21 00:00:00+00:00,-1.5725386
386,1951-01-22 00:00:00+00:00,-7.225437
387,1951-01-23 00:00:00+00:00,-0.62833714
388,1951-01-24 00:00:00+00:00,4.0187635
389,1951-01-25 00:00:00+00:00,1.2658641
390,1951-01-26 00:00:00+00:00,-1.9370353
391,1951-01-27 00:00:00+00:00,-2.9899347
392,1951-01-28 00:00:00+00:00,-7.5928345
393,1951-01-29 00:00:00+00:00,-8.045733
