,date,temperature_2m_max
174,1950-06-24 00:00:00+00:00,35.200546
175,1950-06-25 00:00:00+00:00,30.293413
176,1950-06-26 00:00:00+00:00,27.986277
177,1950-06-27 00:00:00+00:00,23.779142
178,1950-06-28 00:00:00+00:00,29.872011
179,1950-06-29 00:00:00+00:00,30.664875
180,1950-06-30 00:00:00+00:00,30.757742
181,1950-07-01 00:00:00+00:00,30.10061
182,1950-07-02 00:00:00+00:00,33.443474
183,1950-07-03 00:00:00+00:00,34.090588
184,1950-07-04 00:00:00+00:00,32.79478
185,1950-07-05 00:00:00+00:00,34.84897
186,1950-07-06 00:00:00+00:00,36.25316
187,1950-07-07 00:00:00+00:00,37.007347
188,1950-07-08 00:00:00+00:00,37.061535
189,1950-07-09 00:00:00+00:00,37.615726
190,1950-07-10 00:00:00+00:00,36.819916
191,1950-07-11 00:00:00+00:00,34.874107
192,1950-07-12 00:00:00+00:00,32.928295
193,1950-07-13 00:00:00+00:00,32.782486
194,1950-07-14 00:00:00+00:00,32.786674
195,1950-07-15 00:00:00+00:00,29.840866
196,1950-07-16 00:00:00+00:00,29.145054
197,1950-07-17 00:00:00+00:00,30.999247
198,1950-07-18 00:00:00+00:00,33.303436
199,1950-07-19 00:00:00+00:00,31.307623
200,1950-07-20 00:00:00+00:00,30.461813
201,1950-07-21 00:00:00+00:00,34.366005
202,1950-07-22 00:00:00+00:00,35.920197
203,1950-07-23 00:00:00+00:00,35.824383
204,1950-07-24 00:00:00+00:00,35.528572
205,1950-07-25 00:00:00+00:00,34.53276
206,1950-07-26 00:00:00+00:00,35.686954
207,1950-07-27 00:00:00+00:00,36.141144
208,1950-07-28 00:00:00+00:00,35.395332
209,1950-07-29 00:00:00+00:00,35.74952
210,1950-07-30 00:00:00+00:00,35.80371
211,1950-07-31 00:00:00+00:00,36.107903
212,1950-08-01 00:00:00+00:00,34.812088
213,1950-08-02 00:00:00+00:00,35.966278
214,1950-08-03 00:00:00+00:00,35.27047
215,1950-08-04 00:00:00+00:00,35.07466
216,1950-08-05 00:00:00+00:00,34.878853
217,1950-08-06 00:00:00+00:00,35.13304
218,1950-08-07 00:00:00+00:00,35.887234
219,1950-08-08 00:00:00+00:00,36.241417
220,1950-08-09 00:00:00+00:00,35.14561
221,1950-08-10 00:00:00+00:00,30.7498
222,1950-08-11 00:00:00+00:00,34.10399
223,1950-08-12 00:00:00+00:00,36.858177
224,1950-08-13 00:00:00+00:00,37.81237
225,1950-08-14 00:00:00+00:00,37.366558
226,1950-08-15 00:00:00+00:00,36.120747
227,1950-08-16 00:00:00+00:00,34.724937
228,1950-08-17 00:00:00+00:00,34.82913
229,1950-08-18 00:00:00+00:00,34.483322
230,1950-08-19 00:00:00+00:00,36.237507
231,1950-08-20 00:00:00+00:00,35.941696
232,1950-08-21 00:00:00+00:00,35.395885
233,1950-08-22 00:00:00+00:00,34.900074
234,1950-08-23 00:00:00+00:00,34.20427
235,1950-08-24 00:00:00+00:00,32.10846
236,1950-08-25 00:00:00+00:00,29.862646
237,1950-08-26 00:00:00+00:00,30.266838
238,1950-08-27 00:00:00+00:00,29.771027
239,1950-08-28 00:00:00+00:00,31.325218
240,1950-08-29 00:00:00+00:00,30.879406
241,1950-08-30 00:00:00+00:00,29.783594
242,1950-08-31 00:00:00+00:00,30.937786
243,1950-09-01 00:00:00+00:00,32.491974
244,1950-09-02 00:00:00+00:00,32.551594
245,1950-09-03 00:00:00+00:00,32.266636
246,1950-09-04 00:00:00+00:00,33.23168
247,1950-09-05 00:00:00+00:00,33.396725
248,1950-09-06 00:00:00+00:00,30.36177
249,1950-09-07 00:00:00+00:00,29.276814
250,1950-09-08 00:00:00+00:00,29.891857
251,1950-09-09 00:00:00+00:00,31.2069
252,1950-09-10 00:00:00+00:00,32.221947
253,1950-09-11 00:00:00+00:00,32.48699
254,1950-09-12 00:00:00+00:00,30.952036
255,1950-09-13 00:00:00+00:00,26.067074
256,1950-09-14 00:00:00+00:00,24.182117
257,1950-09-15 00:00:00+00:00,22.097164
258,1950-09-16 00:00:00+00:00,25.16221
259,1950-09-17 00:00:00+00:00,27.027254
260,1950-09-18 00:00:00+00:00,26.492296
261,1950-09-19 00:00:00+00:00,25.607342
262,1950-09-20 00:00:00+00:00,25.372385
263,1950-09-21 00:00:00+00:00,21.73743
264,1950-09-22 00:00:00+00:00,23.602474
265,1950-09-23 00:00:00+00:00,24.417517
266,1950-09-24 00:00:00+00:00,25.982561
267,1950-09-25 00:00:00+00:00,27.447605
268,1950-09-26 00:00:00+00:00,27.56265
269,1950-09-27 00:00:00+00:00,28.527693
270,1950-09-28 00:00:00+00:00,28.09274
271,1950-09-29 00:00:00+00:00,28.707783
272,1950-09-30 00:00:00+00:00,27.972828
273,1950-10-01 00:00:00+00:00,28.68787
274,1950-10-02 00:00:00+00:00,29.452913
275,1950-10-03 00:00:00+00:00,26.867956
276,1950-10-04 00:00:00+00:00,24.533003
277,1950-10-05 00:00:00+00:00,22.548046
278,1950-10-06 00:00:00+00:00,23.01309
279,1950-10-07 00:00:00+00:00,23.028131
280,1950-10-08 00:00:00+00:00,24.443176
281,1950-10-09 00:00:00+00:00,25.058222
282,1950-10-10 00:00:00+00:00,24.923265
283,1950-10-11 00:00:00+00:00,24.83831
284,1950-10-12 00:00:00+00:00,23.003351
285,1950-10-13 00:00:00+00:00,23.7184
286,1950-10-14 00:00:00+00:00,20.23344
287,1950-10-15 00:00:00+00:00,19.098486
288,1950-10-16 00:00:00+00:00,18.21353
289,1950-10-17 00:00:00+00:00,25.078575
290,1950-10-18 00:00:00+00:00,21.243618
291,1950-10-19 00:00:00+00:00,16.80866
292,1950-10-20 00:00:00+00:00,19.173708
293,1950-10-21 00:00:00+00:00,18.48875
294,1950-10-22 00:00:00+00:00,17.453794
295,1950-10-23 00:00:00+00:00,18.018837
296,1950-10-24 00:00:00+00:00,18.433882
297,1950-10-25 00:00:00+00:00,18.798925
298,1950-10-26 00:00:00+00:00,19.56397
299,1950-10-27 00:00:00+00:00,19.879013
300,1950-10-28 00:00:00+00:00,20.044058
301,1950-10-29 00:00:00+00:00,13.609103
302,1950-10-30 00:00:00+00:00,14.374146
303,1950-10-31 00:00:00+00:00,17.739191
304,1950-11-01 00:00:00+00:00,20.754234
305,1950-11-02 00:00:00+00:00,20.959988
306,1950-11-03 00:00:00+00:00,20.510166
307,1950-11-04 00:00:00+00:00,19.910343
308,1950-11-05 00:00:00+00:00,20.110523
309,1950-11-06 00:00:00+00:00,17.2607
310,1950-11-07 00:00:00+00:00,18.710878
311,1950-11-08 00:00:00+00:00,20.011055
312,1950-11-09 00:00:00+00:00,19.061234
313,1950-11-10 00:00:00+00:00,19.161411
314,1950-11-11 00:00:00+00:00,19.96159
315,1950-11-12 00:00:00+00:00,19.261768
316,1950-11-13 00:00:00+00:00,18.611946
317,1950-11-14 00:00:00+00:00,18.412125
318,1950-11-15 00:00:00+00:00,16.662302
319,1950-11-16 00:00:00+00:00,14.812481
320,1950-11-17 00:00:00+00:00,15.362659
321,1950-11-18 00:00:00+00:00,16.762836
322,1950-11-19 00:00:00+00:00,19.063013
323,1950-11-20 00:00:00+00:00,19.513193
324,1950-11-21 00:00:00+00:00,18.16337
325,1950-11-22 00:00:00+00:00,16.463549
326,1950-11-23 00:00:00+00:00,15.963727
327,1950-11-24 00:00:00+00:00,14.213904
328,1950-11-25 00:00:00+00:00,13.864084
329,1950-11-26 00:00:00+00:00,15.814261
330,1950-11-27 00:00:00+00:00,15.464439
331,1950-11-28 00:00:00+00:00,14.314617
332,1950-11-29 00:00:00+00:00,13.414796
333,1950-11-30 00:00:00+00:00,12.264974
334,1950-12-01 00:00:00+00:00,14.865151
335,1950-12-02 00:00:00+00:00,14.265329
336,1950-12-03 00:00:00+00:00,14.915507
337,1950-12-04 00:00:00+00:00,13.915685
338,1950-12-05 00:00:00+00:00,13.165862
339,1950-12-06 00:00:00+00:00,12.16604
340,1950-12-07 00:00:00+00:00,11.166219
341,1950-12-08 00:00:00+00:00,9.366397
342,1950-12-09 00:00:00+00:00,8.716576
343,1950-12-10 00:00:00+00:00,12.266753
344,1950-12-11 00:00:00+00:00,12.116932
345,1950-12-12 00:00:00+00:00,12.767109
346,1950-12-13 00:00:00+00:00,12.367288
347,1950-12-14 00:00:00+00:00,11.817466
348,1950-12-15 00:00:00+00:00,5.467643
349,1950-12-16 00:00:00+00:00,9.467821
350,1950-12-17 00:00:00+00:00,10.917998
351,1950-12-18 00:00:00+00:00,10.068177
352,1950-12-19 00:00:00+00:00,5.0683556
353,1950-12-20 00:00:00+00:00,7.5185337
354,1950-12-21 00:00:00+00:00,8.068711
355,1950-12-22 00:00:00+00:00,9.268889
356,1950-12-23 00:00:00+00:00,11.219068
357,1950-12-24 00:00:00+00:00,9.469245
358,1950-12-25 00:00:00+00:00,10.0194235
359,1950-12-26 00:00:00+00:00,9.669602
360,1950-12-27 00:00:00+00:00,7.41978
361,1950-12-28 00:00:00+00:00,7.369958
362,1950-12-29 00:00:00+00:00,9.6701355
363,1950-12-30 00:00:00+00:00,5.120313
364,1950-12-31 00:00:00+00:00,4.4704914
365,1951-01-01 00:00:00+00:00,4.8706694
366,1951-01-02 00:00:00+00:00,6.8647833
367,1951-01-03 00:00:00+00:00,8.606874
368,1951-01-04 00:00:00+00:00,11.198966
369,1951-01-05 00:00:00+00:00,11.441058
370,1951-01-06 00:00:00+00:00,13.633149
371,1951-01-07 00:00:00+00:00,14.075242
372,1951-01-08 00:00:00+00:00,12.417333
373,1951-01-09 00:00:00+00:00,12.209424
374,1951-01-10 00:00:00+00:00,11.951517
375,1951-01-11 00:00:00+00:00,7.9436083
376,1951-01-12 00:00:00+00:00,8.2857
377,1951-01-13 00:00:00+00:00,5.827792
378,1951-01-14 00:00:00+00:00,3.469883
379,1951-01-15 00:00:00+00:00,5.111975
380,1951-01-16 00:00:00+00:00,7.854066
381,1951-01-17 00:00:00+00:00,8.846158
382,1951-01-18 00:00:00+00:00,9.08825
383,1951-01-19 00:00:00+00:00,8.480342
384,1951-01-20 00:00:00+00:00,6.172433
385,1951-01-21 00:00:00+00:00,6.864525
386,1951-01-22 00:00:00+00:00,8.856617
387,1951-01-23 00:00:00+00:00,8.848708
388,1951-01-24 00:00:00+00:00,7.3408003
389,1951-01-25 00:00:00+00:00,6.5828915
390,1951-01-26 00:00:00+00:00,3.1749835
391,1951-01-27 00:00:00+00:00,5.917075
392,1951-01-28 00:00:00+00:00,-0.34083295
393,1951-01-29 00:00:00+00:00,3.2512589
394,1951-01-30 00:00:00+00:00,5.99335
395,1951-01-31 00:00:00+00:00,4.135442
396,1951-02-01 00:00:00+00:00,2.2275338
397,1951-02-02 00:00:00+00:00,6.5196257
398,1951-02-03 00:00:00+00:00,6.111717
399,1951-02-04 00:00:00+00:00,5.953809
400,1951-02-05 00:00:00+00:00,7.8959
401,1951-02-06 00:00:00+00:00,8.837992
402,1951-02-07 00:00:00+00:00,8.480083
403,1951-02-08 00:00:00+00:00,8.472175
404,1951-02-09 00:00:00+00:00,6.1142673
405,1951-02-10 00:00:00+00:00,7.6563587
406,1951-02-11 00:00:00+00:00,9.14845
407,1951-02-12 00:00:00+00:00,10.140542
408,1951-02-13 00:00:00+00:00,9.232635
409,1951-02-14 00:00:00+00:00,9.024726
410,1951-02-15 00:00:00+00:00,9.166818
411,1951-02-16 00:00:00+00:00,8.958909
412,1951-02-17 00:00:00+00:00,10.951001
413,1951-02-18 00:00:00+00:00,11.543092
414,1951-02-19 00:00:00+00:00,12.385184
415,1951-02-20 00:00:00+00:00,3.277275
416,1951-02-21 00:00:00+00:00,0.8193679
417,1951-02-22 00:00:00+00:00,3.111459
418,1951-02-23 00:00:00+00:00,9.653551
419,1951-02-24 00:00:00+00:00,10.845643
420,1951-02-25 00:00:00+00:00,9.737735
421,1951-02-26 00:00:00+00:00,7.3798256
422,1951-02-27 00:00:00+00:00,11.321918
423,1951-02-28 00:00:00+00:00,13.16401
424,1951-03-01 00:00:00+00:00,12.756102
425,1951-03-02 00:00:00+00:00,13.298193
426,1951-03-03 00:00:00+00:00,10.890285
427,1951-03-04 00:00:00+00:00,5.285472
428,1951-03-05 00:00:00+00:00,2.6811028
429,1951-03-06 00:00:00+00:00,4.5767336
430,1951-03-07 00:00:00+00:00,6.822364
431,1951-03-08 00:00:00+00:00,5.9179935
432,1951-03-09 00:00:00+00:00,5.1136246
433,1951-03-10 00:00:00+00:00,7.159255
434,1951-03-11 00:00:00+00:00,8.104885
435,1951-03-12 00:00:00+00:00,8.600516
436,1951-03-13 00:00:00+00:00,8.296146
437,1951-03-14 00:00:00+00:00,5.941777
438,1951-03-15 00:00:00+00:00,4.2374067
439,1951-03-16 00:00:00+00:00,-0.86696315
440,1951-03-17 00:00:00+00:00,2.278668
441,1951-03-18 00:00:00+00:00,3.124298
442,1951-03-19 00:00:00+00:00,3.8199284
443,1951-03-20 00:00:00+00:00,9.01556
444,1951-03-21 00:00:00+00:00,12.261189
445,1951-03-22 00:00:00+00:00,13.75682
446,1951-03-23 00:00:00+00:00,14.85245
447,1951-03-24 00:00:00+00:00,14.498081
448,1951-03-25 00:00:00+00:00,14.743712
449,1951-03-26 00:00:00+00:00,14.139342
450,1951-03-27 00:00:00+00:00,8.184972
451,1951-03-28 00:00:00+00:00,8.580602
452,1951-03-29 00:00:00+00:00,8.776233
453,1951-03-30 00:00:00+00:00,12.071862
454,1951-03-31 00:00:00+00:00,11.417494
455,1951-04-01 00:00:00+00:00,11.863123
456,1951-04-02 00:00:00+00:00,11.458755
457,1951-04-03 00:00:00+00:00,6.4043856
458,1951-04-04 00:00:00+00:00,7.0000153
459,1951-04-05 00:00:00+00:00,3.795646
460,1951-04-06 00:00:00+00:00,8.941276
461,1951-04-07 00:00:00+00:00,9.736908
462,1951-04-08 00:00:00+00:00,12.332538
463,1951-04-09 00:00:00+00:00,10.278168
464,1951-04-10 00:00:00+00:00,9.423798
465,1951-04-11 00:00:00+00:00,12.569428
466,1951-04-12 00:00:00+00:00,12.815058
467,1951-04-13 00:00:00+00:00,13.510689
468,1951-04-14 00:00:00+00:00,15.256319
469,1951-04-15 00:00:00+00:00,17.20195
470,1951-04-16 00:00:00+00:00,17.14758
471,1951-04-17 00:00:00+00:00,16.44321
472,1951-04-18 00:00:00+00:00,17.38884
473,1951-04-19 00:00:00+00:00,17.784473
474,1951-04-20 00:00:00+00:00,18.430101
475,1951-04-21 00:00:00+00:00,20.275732
476,1951-04-22 00:00:00+00:00,21.171362
477,1951-04-23 00:00:00+00:00,21.666992
478,1951-04-24 00:00:00+00:00,20.812622
479,1951-04-25 00:00:00+00:00,16.358255
480,1951-04-26 00:00:00+00:00,17.003885
481,1951-04-27 00:00:00+00:00,18.449514
482,1951-04-28 00:00:00+00:00,15.495146
483,1951-04-29 00:00:00+00:00,19.340775
484,1951-04-30 00:00:00+00:00,16.936405
485,1951-05-01 00:00:00+00:00,16.482037
486,1951-05-02 00:00:00+00:00,15.827669
487,1951-05-03 00:00:00+00:00,16.073298
488,1951-05-04 00:00:00+00:00,17.766163
489,1951-05-05 00:00:00+00:00,19.509027
490,1951-05-06 00:00:00+00:00,18.901894
491,1951-05-07 00:00:00+00:00,19.044762
492,1951-05-08 00:00:00+00:00,19.287628
493,1951-05-09 00:00:00+00:00,16.630491
494,1951-05-10 00:00:00+00:00,16.073359
495,1951-05-11 00:00:00+00:00,18.266226
496,1951-05-12 00:00:00+00:00,20.409092
497,1951-05-13 00:00:00+00:00,20.251957
498,1951-05-14 00:00:00+00:00,21.344822
499,1951-05-15 00:00:00+00:00,21.437687
500,1951-05-16 00:00:00+00:00,22.180555
501,1951-05-17 00:00:00+00:00,23.42342
502,1951-05-18 00:00:00+00:00,24.966286
503,1951-05-19 00:00:00+00:00,21.759151
504,1951-05-20 00:00:00+00:00,23.30202
505,1951-05-21 00:00:00+00:00,24.094887
506,1951-05-22 00:00:00+00:00,21.387753
507,1951-05-23 00:00:00+00:00,18.980616
508,1951-05-24 00:00:00+00:00,15.0734825
509,1951-05-25 00:00:00+00:00,14.766349
510,1951-05-26 00:00:00+00:00,14.259215
511,1951-05-27 00:00:00+00:00,17.552082
512,1951-05-28 00:00:00+00:00,18.494947
513,1951-05-29 00:00:00+00:00,19.537813
514,1951-05-30 00:00:00+00:00,22.48068
515,1951-05-31 00:00:00+00:00,22.873545
516,1951-06-01 00:00:00+00:00,22.56641
517,1951-06-02 00:00:00+00:00,24.159277
518,1951-06-03 00:00:00+00:00,28.152143
519,1951-06-04 00:00:00+00:00,29.595009
520,1951-06-05 00:00:00+00:00,28.687876
521,1951-06-06 00:00:00+00:00,25.880741
522,1951-06-07 00:00:00+00:00,26.023605
523,1951-06-08 00:00:00+00:00,27.916475
524,1951-06-09 00:00:00+00:00,30.909338
525,1951-06-10 00:00:00+00:00,30.652205
526,1951-06-11 00:00:00+00:00,28.495071
527,1951-06-12 00:00:00+00:00,28.737938
528,1951-06-13 00:00:00+00:00,29.730804
529,1951-06-14 00:00:00+00:00,30.673672
530,1951-06-15 00:00:00+00:00,31.466534
531,1951-06-16 00:00:00+00:00,32.0094
532,1951-06-17 00:00:00+00:00,31.252268
533,1951-06-18 00:00:00+00:00,29.395134
534,1951-06-19 00:00:00+00:00,29.638
535,1951-06-20 00:00:00+00:00,30.330868
536,1951-06-21 00:00:00+00:00,30.373732
537,1951-06-22 00:00:00+00:00,30.066599
538,1951-06-23 00:00:00+00:00,30.759464
539,1951-06-24 00:00:00+00:00,31.402328
540,1951-06-25 00:00:00+00:00,32.5452
541,1951-06-26 00:00:00+00:00,32.788063
542,1951-06-27 00:00:00+00:00,31.280928
543,1951-06-28 00:00:00+00:00,31.273792
544,1951-06-29 00:00:00+00:00,32.66666
545,1951-06-30 00:00:00+00:00,32.70953
546,1951-07-01 00:00:00+00:00,32.90239
547,1951-07-02 00:00:00+00:00,33.39526
548,1951-07-03 00:00:00+00:00,30.88954
549,1951-07-04 00:00:00+00:00,27.29373
550,1951-07-05 00:00:00+00:00,29.59792
551,1951-07-06 00:00:00+00:00,32.10211
552,1951-07-07 00:00:00+00:00,34.556297
553,1951-07-08 00:00:00+00:00,36.51049
554,1951-07-09 00:00:00+00:00,37.064682
555,1951-07-10 00:00:00+00:00,36.51887
556,1951-07-11 00:00:00+00:00,35.873062
557,1951-07-12 00:00:00+00:00,34.427246
558,1951-07-13 00:00:00+00:00,35.13144
559,1951-07-14 00:00:00+00:00,35.485626
560,1951-07-15 00:00:00+00:00,34.089817
561,1951-07-16 00:00:00+00:00,32.84401
562,1951-07-17 00:00:00+00:00,35.198196
563,1951-07-18 00:00:00+00:00,34.80239
564,1951-07-19 00:00:00+00:00,34.756577
565,1951-07-20 00:00:00+00:00,34.610767
566,1951-07-21 00:00:00+00:00,35.164955
567,1951-07-22 00:00:00+00:00,33.669144
568,1951-07-23 00:00:00+00:00,34.623337
569,1951-07-24 00:00:00+00:00,35.677525
570,1951-07-25 00:00:00+00:00,34.081715
571,1951-07-26 00:00:00+00:00,33.235905
