,date,temperature_2m_mean
167,1950-06-17 00:00:00+00:00,24.232935
168,1950-06-18 00:00:00+00:00,25.223
169,1950-06-19 00:00:00+00:00,24.963062
170,1950-06-20 00:00:00+00:00,26.153124
171,1950-06-21 00:00:00+00:00,27.84319
172,1950-06-22 00:00:00+00:00,29.08325
173,1950-06-23 00:00:00+00:00,29.123316
174,1950-06-24 00:00:00+00:00,28.463379
175,1950-06-25 00:00:00+00:00,24.853443
176,1950-06-26 00:00:00+00:00,22.043507
177,1950-06-27 00:00:00+00:00,19.08357
178,1950-06-28 00:00:00+00:00,21.923634
179,1950-06-29 00:00:00+00:00,23.263697
180,1950-06-30 00:00:00+00:00,23.70376
181,1950-07-01 00:00:00+00:00,22.293823
182,1950-07-02 00:00:00+00:00,25.033886
183,1950-07-03 00:00:00+00:00,26.328667
184,1950-07-04 00:00:00+00:00,25.181305
185,1950-07-05 00:00:00+00:00,28.08394
186,1950-07-06 00:00:00+00:00,29.386578
187,1950-07-07 00:00:00+00:00,30.539215
188,1950-07-08 00:00:00+00:00,30.791853
189,1950-07-09 00:00:00+00:00,30.04449
190,1950-07-10 00:00:00+00:00,29.44713
191,1950-07-11 00:00:00+00:00,27.549767
192,1950-07-12 00:00:00+00:00,26.402403
193,1950-07-13 00:00:00+00:00,26.155043
194,1950-07-14 00:00:00+00:00,26.35768
195,1950-07-15 00:00:00+00:00,24.510317
196,1950-07-16 00:00:00+00:00,23.912954
197,1950-07-17 00:00:00+00:00,24.465593
198,1950-07-18 00:00:00+00:00,25.568232
199,1950-07-19 00:00:00+00:00,24.57087
200,1950-07-20 00:00:00+00:00,22.973507
201,1950-07-21 00:00:00+00:00,26.776144
202,1950-07-22 00:00:00+00:00,27.978783
203,1950-07-23 00:00:00+00:00,28.18142
204,1950-07-24 00:00:00+00:00,28.834057
205,1950-07-25 00:00:00+00:00,27.936695
206,1950-07-26 00:00:00+00:00,29.139332
207,1950-07-27 00:00:00+00:00,29.39197
208,1950-07-28 00:00:00+00:00,28.644608
209,1950-07-29 00:00:00+00:00,29.397245
210,1950-07-30 00:00:00+00:00,29.849884
211,1950-07-31 00:00:00+00:00,28.652523
212,1950-08-01 00:00:00+00:00,27.75516
213,1950-08-02 00:00:00+00:00,28.807796
214,1950-08-03 00:00:00+00:00,28.160435
215,1950-08-04 00:00:00+00:00,28.913073
216,1950-08-05 00:00:00+00:00,29.01571
217,1950-08-06 00:00:00+00:00,28.718348
218,1950-08-07 00:00:00+00:00,29.120983
219,1950-08-08 00:00:00+00:00,29.823624
220,1950-08-09 00:00:00+00:00,28.976261
221,1950-08-10 00:00:00+00:00,26.228897
222,1950-08-11 00:00:00+00:00,27.431536
223,1950-08-12 00:00:00+00:00,30.284174
224,1950-08-13 00:00:00+00:00,31.286812
225,1950-08-14 00:00:00+00:00,30.639448
226,1950-08-15 00:00:00+00:00,29.442087
227,1950-08-16 00:00:00+00:00,28.094727
228,1950-08-17 00:00:00+00:00,28.197363
229,1950-08-18 00:00:00+00:00,27.699999
230,1950-08-19 00:00:00+00:00,28.652636
231,1950-08-20 00:00:00+00:00,29.055275
232,1950-08-21 00:00:00+00:00,28.057913
233,1950-08-22 00:00:00+00:00,27.96055
234,1950-08-23 00:00:00+00:00,27.313189
235,1950-08-24 00:00:00+00:00,26.015825
236,1950-08-25 00:00:00+00:00,24.41846
237,1950-08-26 00:00:00+00:00,24.121101
238,1950-08-27 00:00:00+00:00,24.273739
239,1950-08-28 00:00:00+00:00,25.076378
240,1950-08-29 00:00:00+00:00,24.429014
241,1950-08-30 00:00:00+00:00,23.631653
242,1950-08-31 00:00:00+00:00,24.28429
243,1950-09-01 00:00:00+00:00,25.636927
244,1950-09-02 00:00:00+00:00,25.045452
245,1950-09-03 00:00:00+00:00,23.709867
246,1950-09-04 00:00:00+00:00,25.324278
247,1950-09-05 00:00:00+00:00,25.438692
248,1950-09-06 00:00:00+00:00,23.103104
249,1950-09-07 00:00:00+00:00,22.817518
250,1950-09-08 00:00:00+00:00,24.031929
251,1950-09-09 00:00:00+00:00,25.396343
252,1950-09-10 00:00:00+00:00,26.510757
253,1950-09-11 00:00:00+00:00,25.225168
254,1950-09-12 00:00:00+00:00,23.439583
255,1950-09-13 00:00:00+00:00,20.803995
256,1950-09-14 00:00:00+00:00,18.168407
257,1950-09-15 00:00:00+00:00,16.08282
258,1950-09-16 00:00:00+00:00,19.097233
259,1950-09-17 00:00:00+00:00,21.261648
260,1950-09-18 00:00:00+00:00,21.476063
261,1950-09-19 00:00:00+00:00,19.740473
262,1950-09-20 00:00:00+00:00,19.704884
263,1950-09-21 00:00:00+00:00,17.069298
264,1950-09-22 00:00:00+00:00,17.733711
265,1950-09-23 00:00:00+00:00,18.348124
266,1950-09-24 00:00:00+00:00,19.712538
267,1950-09-25 00:00:00+00:00,21.57695
268,1950-09-26 00:00:00+00:00,21.891363
269,1950-09-27 00:00:00+00:00,21.855776
270,1950-09-28 00:00:00+00:00,21.52019
271,1950-09-29 00:00:00+00:00,22.6846
272,1950-09-30 00:00:00+00:00,22.699015
273,1950-10-01 00:00:00+00:00,22.913427
274,1950-10-02 00:00:00+00:00,22.977839
275,1950-10-03 00:00:00+00:00,20.392254
276,1950-10-04 00:00:00+00:00,18.756668
277,1950-10-05 00:00:00+00:00,17.52108
278,1950-10-06 00:00:00+00:00,16.885492
279,1950-10-07 00:00:00+00:00,17.599903
280,1950-10-08 00:00:00+00:00,18.564318
