,date,soil_moisture_0_to_10cm_mean
163,1950-06-13 00:00:00+00:00,0.16229998
164,1950-06-14 00:00:00+00:00,0.16075562
165,1950-06-15 00:00:00+00:00,0.16021125
166,1950-06-16 00:00:00+00:00,0.1596669
167,1950-06-17 00:00:00+00:00,0.15812251
168,1950-06-18 00:00:00+00:00,0.15757816
169,1950-06-19 00:00:00+00:00,0.1570338
170,1950-06-20 00:00:00+00:00,0.15548946
171,1950-06-21 00:00:00+00:00,0.15494508
172,1950-06-22 00:00:00+00:00,0.1544007
173,1950-06-23 00:00:00+00:00,0.15385634
174,1950-06-24 00:00:00+00:00,0.15331198
175,1950-06-25 00:00:00+00:00,0.15176761
176,1950-06-26 00:00:00+00:00,0.15122326
177,1950-06-27 00:00:00+00:00,0.15067892
178,1950-06-28 00:00:00+00:00,0.15013453
179,1950-06-29 00:00:00+00:00,0.14959018
180,1950-06-30 00:00:00+00:00,0.14904581
181,1950-07-01 00:00:00+00:00,0.14850146
182,1950-07-02 00:00:00+00:00,0.14795709
183,1950-07-03 00:00:00+00:00,0.14755785
184,1950-07-04 00:00:00+00:00,0.14740053
185,1950-07-05 00:00:00+00:00,0.14724317
186,1950-07-06 00:00:00+00:00,0.14708585
187,1950-07-07 00:00:00+00:00,0.14692849
188,1950-07-08 00:00:00+00:00,0.14677115
189,1950-07-09 00:00:00+00:00,0.1466138
190,1950-07-10 00:00:00+00:00,0.14645648
191,1950-07-11 00:00:00+00:00,0.14629914
192,1950-07-12 00:00:00+00:00,0.1461418
193,1950-07-13 00:00:00+00:00,0.14598446
194,1950-07-14 00:00:00+00:00,0.14582711
195,1950-07-15 00:00:00+00:00,0.14566977
196,1950-07-16 00:00:00+00:00,0.15151244
197,1950-07-17 00:00:00+00:00,0.15735509
198,1950-07-18 00:00:00+00:00,0.15319775
199,1950-07-19 00:00:00+00:00,0.15004042
200,1950-07-20 00:00:00+00:00,0.14788307
201,1950-07-21 00:00:00+00:00,0.14672574
202,1950-07-22 00:00:00+00:00,0.14556837
203,1950-07-23 00:00:00+00:00,0.14441104
204,1950-07-24 00:00:00+00:00,0.1442537
205,1950-07-25 00:00:00+00:00,0.14409636
206,1950-07-26 00:00:00+00:00,0.14393902
207,1950-07-27 00:00:00+00:00,0.14378168
208,1950-07-28 00:00:00+00:00,0.14362434
209,1950-07-29 00:00:00+00:00,0.14346701
210,1950-07-30 00:00:00+00:00,0.14330965
211,1950-07-31 00:00:00+00:00,0.14315233
212,1950-08-01 00:00:00+00:00,0.14299497
213,1950-08-02 00:00:00+00:00,0.14283764
214,1950-08-03 00:00:00+00:00,0.1426803
